id,make,model,year,price,body_type,fuel_type,transmission,engine_size,horsepower,seating_capacity,fuel_economy,safety_rating,features,description
109,Honda,HR-V,2024,41163,Sedan,Petrol,Automatic,2.6,377,5,44,3,"Sunroof, Navigation System, Blind Spot Monitor",The 2024 Honda HR-V is a premium Sedan offering exceptional performance and modern features like Sunroof and Navigation System.
110,Ford,Explorer,2024,30435,SUV,Hybrid,Automatic,4.7,161,5,32,5,"Leather Seats, Android Auto, Navigation System, Blind Spot Monitor",The 2024 Ford Explorer is a premium SUV offering exceptional performance and modern features like Leather Seats and Android Auto.
111,Honda,CR-V,2020,44362,SUV,Petrol,Manual,3.6,144,5,41,3,"Apple CarPlay, Leather Seats, Blind Spot Monitor, Bluetooth, Cruise Control, Backup Camera",The 2020 Honda CR-V is a premium SUV offering exceptional performance and modern features like Apple CarPlay and Leather Seats.
112,Kia,EV6,2023,43913,Truck,Electric,Automatic,0.0,786,5,18,4,"Apple CarPlay, Android Auto, Navigation System",The 2023 Kia EV6 is a premium Truck offering exceptional performance and modern features like Apple CarPlay and Android Auto.
113,Chevrolet,Silverado,2020,82909,Truck,Hybrid,Automatic,2.3,590,5,19,3,"Heated Seats, Leather Seats, Blind Spot Monitor, Navigation System, Android Auto, Sunroof",The 2020 Chevrolet Silverado is a premium Truck offering exceptional performance and modern features like Heated Seats and Leather Seats.
114,Toyota,Prius,2022,34011,Truck,Diesel,Automatic,2.8,182,3,21,5,"Sunroof, Backup Camera, Cruise Control, Leather Seats, Android Auto, Blind Spot Monitor",The 2022 Toyota Prius is a premium Truck offering exceptional performance and modern features like Sunroof and Backup Camera.
115,BMW,M3,2020,74022,Coupe,Petrol,Automatic,2.4,593,4,40,3,"Leather Seats, Heated Seats, Blind Spot Monitor, Bluetooth",The 2020 BMW M3 is a premium Coupe offering exceptional performance and modern features like Leather Seats and Heated Seats.
116,Tesla,Model X,2023,74345,SUV,Electric,Automatic,0.0,795,5,129,5,"Cruise Control, Android Auto, Blind Spot Monitor",The 2023 Tesla Model X is a premium SUV offering exceptional performance and modern features like Cruise Control and Android Auto.
117,Toyota,Camry,2019,31272,SUV,Petrol,Automatic,4.4,433,5,27,3,"Backup Camera, Android Auto, Navigation System, Blind Spot Monitor, Sunroof, Heated Seats",The 2019 Toyota Camry is a premium SUV offering exceptional performance and modern features like Backup Camera and Android Auto.
118,Audi,e-tron,2021,64916,Luxury,Electric,Automatic,0.0,336,5,97,3,"Blind Spot Monitor, Leather Seats, Heated Seats, Backup Camera, Apple CarPlay, Navigation System",The 2021 Audi e-tron is a premium Luxury offering exceptional performance and modern features like Blind Spot Monitor and Leather Seats.
119,Toyota,Prius,2022,47804,SUV,Petrol,Manual,4.9,330,7,38,5,"Android Auto, Bluetooth, Cruise Control, Sunroof",The 2022 Toyota Prius is a premium SUV offering exceptional performance and modern features like Android Auto and Bluetooth.
120,Hyundai,Elantra,2019,44393,SUV,Petrol,Automatic,2.2,224,7,42,4,"Bluetooth, Heated Seats, Sunroof, Android Auto, Blind Spot Monitor",The 2019 Hyundai Elantra is a premium SUV offering exceptional performance and modern features like Bluetooth and Heated Seats.
121,Honda,CR-V,2020,38070,SUV,Petrol,Automatic,1.6,434,5,44,4,"Leather Seats, Heated Seats, Apple CarPlay, Bluetooth",The 2020 Honda CR-V is a premium SUV offering exceptional performance and modern features like Leather Seats and Heated Seats.
122,Chevrolet,Silverado,2022,77640,Truck,Diesel,Automatic,4.9,421,3,21,5,"Apple CarPlay, Leather Seats, Navigation System, Bluetooth, Backup Camera, Android Auto",The 2022 Chevrolet Silverado is a premium Truck offering exceptional performance and modern features like Apple CarPlay and Leather Seats.
123,Honda,HR-V,2023,45942,Luxury,Hybrid,Automatic,3.1,207,5,31,3,"Backup Camera, Leather Seats, Android Auto, Blind Spot Monitor",The 2023 Honda HR-V is a premium Luxury offering exceptional performance and modern features like Backup Camera and Leather Seats.
124,Audi,Q7,2019,73679,SUV,Petrol,Automatic,3.3,191,5,24,5,"Navigation System, Blind Spot Monitor, Heated Seats",The 2019 Audi Q7 is a premium SUV offering exceptional performance and modern features like Navigation System and Blind Spot Monitor.
125,Audi,Q5,2021,61329,SUV,Petrol,Automatic,3.3,205,7,41,3,"Blind Spot Monitor, Bluetooth, Apple CarPlay, Heated Seats",The 2021 Audi Q5 is a premium SUV offering exceptional performance and modern features like Blind Spot Monitor and Bluetooth.
126,Audi,Q5,2023,67081,SUV,Petrol,Automatic,3.9,143,5,24,4,"Blind Spot Monitor, Cruise Control, Sunroof",The 2023 Audi Q5 is a premium SUV offering exceptional performance and modern features like Blind Spot Monitor and Cruise Control.
127,Tesla,Model 3,2022,53292,Sedan,Electric,Automatic,0.0,585,5,93,4,"Android Auto, Navigation System, Sunroof, Apple CarPlay, Heated Seats, Backup Camera",The 2022 Tesla Model 3 is a premium Sedan offering exceptional performance and modern features like Android Auto and Navigation System.
128,Ford,Mach-E,2022,25541,SUV,Electric,Automatic,0.0,268,5,119,5,"Apple CarPlay, Navigation System, Heated Seats",The 2022 Ford Mach-E is a premium SUV offering exceptional performance and modern features like Apple CarPlay and Navigation System.
129,Kia,Sorento,2024,35028,Sedan,Petrol,Automatic,4.2,594,5,34,4,"Blind Spot Monitor, Cruise Control, Apple CarPlay, Heated Seats, Backup Camera",The 2024 Kia Sorento is a premium Sedan offering exceptional performance and modern features like Blind Spot Monitor and Cruise Control.
130,Ford,Mach-E,2021,35077,Coupe,Electric,Automatic,0.0,675,2,94,3,"Apple CarPlay, Cruise Control, Heated Seats, Android Auto, Bluetooth, Leather Seats",The 2021 Ford Mach-E is a premium Coupe offering exceptional performance and modern features like Apple CarPlay and Cruise Control.
131,Tesla,Model Y,2020,69362,SUV,Electric,Automatic,0.0,562,5,120,3,"Bluetooth, Sunroof, Blind Spot Monitor, Cruise Control, Android Auto, Heated Seats",The 2020 Tesla Model Y is a premium SUV offering exceptional performance and modern features like Bluetooth and Sunroof.
132,Hyundai,Sonata,2024,27014,SUV,Hybrid,Automatic,1.8,347,5,39,4,"Apple CarPlay, Heated Seats, Bluetooth, Blind Spot Monitor",The 2024 Hyundai Sonata is a premium SUV offering exceptional performance and modern features like Apple CarPlay and Heated Seats.
133,Honda,CR-V,2022,46975,SUV,Petrol,Manual,1.4,495,5,44,3,"Heated Seats, Bluetooth, Sunroof, Backup Camera",The 2022 Honda CR-V is a premium SUV offering exceptional performance and modern features like Heated Seats and Bluetooth.
134,Ford,F-150,2023,35123,Truck,Petrol,Automatic,3.9,502,5,20,5,"Bluetooth, Blind Spot Monitor, Cruise Control",The 2023 Ford F-150 is a premium Truck offering exceptional performance and modern features like Bluetooth and Blind Spot Monitor.
135,Audi,A4,2019,51633,Coupe,Petrol,Manual,2.8,124,2,35,3,"Sunroof, Android Auto, Bluetooth, Heated Seats",The 2019 Audi A4 is a premium Coupe offering exceptional performance and modern features like Sunroof and Android Auto.
136,Mercedes-Benz,GLE,2021,66009,Hatchback,Petrol,Automatic,2.0,510,5,40,4,"Cruise Control, Sunroof, Leather Seats, Apple CarPlay, Android Auto",The 2021 Mercedes-Benz GLE is a premium Hatchback offering exceptional performance and modern features like Cruise Control and Sunroof.
137,Kia,K5,2022,32193,Sedan,Petrol,Automatic,3.0,575,5,31,3,"Apple CarPlay, Navigation System, Leather Seats, Android Auto",The 2022 Kia K5 is a premium Sedan offering exceptional performance and modern features like Apple CarPlay and Navigation System.
138,Ford,Mach-E,2021,27551,Luxury,Electric,Automatic,0.0,257,5,117,3,"Heated Seats, Cruise Control, Backup Camera, Android Auto, Leather Seats, Sunroof",The 2021 Ford Mach-E is a premium Luxury offering exceptional performance and modern features like Heated Seats and Cruise Control.
139,Honda,CR-V,2023,25258,SUV,Hybrid,Automatic,3.1,339,5,27,3,"Blind Spot Monitor, Leather Seats, Sunroof, Android Auto, Cruise Control, Bluetooth",The 2023 Honda CR-V is a premium SUV offering exceptional performance and modern features like Blind Spot Monitor and Leather Seats.
140,Audi,A4,2023,60102,Truck,Diesel,Automatic,1.8,221,3,19,3,"Cruise Control, Apple CarPlay, Bluetooth, Navigation System, Heated Seats",The 2023 Audi A4 is a premium Truck offering exceptional performance and modern features like Cruise Control and Apple CarPlay.
141,Ford,Mach-E,2022,41648,Luxury,Electric,Automatic,0.0,460,5,100,4,"Sunroof, Blind Spot Monitor, Bluetooth, Backup Camera, Cruise Control",The 2022 Ford Mach-E is a premium Luxury offering exceptional performance and modern features like Sunroof and Blind Spot Monitor.
142,BMW,X5,2020,74765,SUV,Electric,Automatic,0.0,795,5,107,4,"Blind Spot Monitor, Leather Seats, Cruise Control, Backup Camera, Navigation System",The 2020 BMW X5 is a premium SUV offering exceptional performance and modern features like Blind Spot Monitor and Leather Seats.
143,Ford,F-150,2022,47433,Truck,Petrol,Automatic,3.8,573,3,22,5,"Apple CarPlay, Android Auto, Bluetooth, Blind Spot Monitor, Navigation System",The 2022 Ford F-150 is a premium Truck offering exceptional performance and modern features like Apple CarPlay and Android Auto.
144,BMW,X5,2024,72499,SUV,Hybrid,Automatic,4.2,452,7,38,3,"Cruise Control, Navigation System, Android Auto, Sunroof",The 2024 BMW X5 is a premium SUV offering exceptional performance and modern features like Cruise Control and Navigation System.
145,Ford,Explorer,2022,35096,SUV,Petrol,Automatic,4.7,334,5,44,5,"Apple CarPlay, Bluetooth, Heated Seats, Navigation System",The 2022 Ford Explorer is a premium SUV offering exceptional performance and modern features like Apple CarPlay and Bluetooth.
146,Kia,Sportage,2022,38686,Sedan,Petrol,Manual,1.6,541,5,40,3,"Cruise Control, Navigation System, Leather Seats, Blind Spot Monitor, Backup Camera, Bluetooth",The 2022 Kia Sportage is a premium Sedan offering exceptional performance and modern features like Cruise Control and Navigation System.
147,BMW,X3,2019,50040,SUV,Petrol,Manual,4.4,480,5,41,3,"Android Auto, Blind Spot Monitor, Leather Seats, Navigation System, Cruise Control, Backup Camera",The 2019 BMW X3 is a premium SUV offering exceptional performance and modern features like Android Auto and Blind Spot Monitor.
148,BMW,M3,2023,63615,Coupe,Petrol,Automatic,4.0,320,2,23,5,"Cruise Control, Bluetooth, Heated Seats",The 2023 BMW M3 is a premium Coupe offering exceptional performance and modern features like Cruise Control and Bluetooth.
149,Kia,Sportage,2020,48132,Coupe,Diesel,Automatic,3.4,276,2,42,5,"Android Auto, Sunroof, Bluetooth, Leather Seats, Apple CarPlay, Cruise Control",The 2020 Kia Sportage is a premium Coupe offering exceptional performance and modern features like Android Auto and Sunroof.
150,Audi,A4,2019,59302,Coupe,Petrol,Automatic,2.6,387,2,27,5,"Backup Camera, Heated Seats, Leather Seats, Cruise Control, Apple CarPlay, Bluetooth",The 2019 Audi A4 is a premium Coupe offering exceptional performance and modern features like Backup Camera and Heated Seats.
151,Tesla,Model X,2019,56796,SUV,Electric,Automatic,0.0,298,5,109,3,"Blind Spot Monitor, Backup Camera, Apple CarPlay, Cruise Control",The 2019 Tesla Model X is a premium SUV offering exceptional performance and modern features like Blind Spot Monitor and Backup Camera.
152,Kia,Forte,2023,29912,Sedan,Hybrid,Automatic,4.5,302,5,28,5,"Leather Seats, Heated Seats, Android Auto",The 2023 Kia Forte is a premium Sedan offering exceptional performance and modern features like Leather Seats and Heated Seats.
153,Toyota,Prius,2020,47630,Luxury,Hybrid,Automatic,3.6,462,5,32,5,"Navigation System, Cruise Control, Blind Spot Monitor, Heated Seats, Android Auto",The 2020 Toyota Prius is a premium Luxury offering exceptional performance and modern features like Navigation System and Cruise Control.
154,Tesla,Model Y,2023,51774,SUV,Electric,Automatic,0.0,333,7,104,3,"Backup Camera, Navigation System, Bluetooth, Sunroof, Heated Seats",The 2023 Tesla Model Y is a premium SUV offering exceptional performance and modern features like Backup Camera and Navigation System.
155,Honda,CR-V,2024,32544,SUV,Petrol,Automatic,3.6,236,7,25,5,"Android Auto, Bluetooth, Navigation System, Cruise Control, Backup Camera, Heated Seats",The 2024 Honda CR-V is a premium SUV offering exceptional performance and modern features like Android Auto and Bluetooth.
156,Audi,e-tron,2020,55476,Truck,Electric,Automatic,0.0,298,5,22,3,"Bluetooth, Android Auto, Blind Spot Monitor, Sunroof",The 2020 Audi e-tron is a premium Truck offering exceptional performance and modern features like Bluetooth and Android Auto.
157,BMW,5 Series,2024,53259,Luxury,Hybrid,Manual,4.5,454,5,28,5,"Navigation System, Leather Seats, Cruise Control, Blind Spot Monitor, Sunroof",The 2024 BMW 5 Series is a premium Luxury offering exceptional performance and modern features like Navigation System and Leather Seats.
158,Hyundai,Santa Fe,2023,41390,Luxury,Petrol,Automatic,4.8,394,5,29,4,"Blind Spot Monitor, Apple CarPlay, Bluetooth, Backup Camera, Leather Seats, Navigation System",The 2023 Hyundai Santa Fe is a premium Luxury offering exceptional performance and modern features like Blind Spot Monitor and Apple CarPlay.
159,Tesla,Model 3,2023,59649,Sedan,Electric,Automatic,0.0,625,5,92,5,"Navigation System, Sunroof, Blind Spot Monitor",The 2023 Tesla Model 3 is a premium Sedan offering exceptional performance and modern features like Navigation System and Sunroof.
160,BMW,5 Series,2023,52169,Truck,Petrol,Automatic,3.0,253,5,15,3,"Leather Seats, Cruise Control, Bluetooth",The 2023 BMW 5 Series is a premium Truck offering exceptional performance and modern features like Leather Seats and Cruise Control.
161,Honda,HR-V,2024,46300,Hatchback,Hybrid,Automatic,4.3,228,5,38,4,"Heated Seats, Leather Seats, Android Auto",The 2024 Honda HR-V is a premium Hatchback offering exceptional performance and modern features like Heated Seats and Leather Seats.
162,Ford,Mach-E,2020,38283,Hatchback,Electric,Automatic,0.0,348,5,129,4,"Leather Seats, Android Auto, Heated Seats",The 2020 Ford Mach-E is a premium Hatchback offering exceptional performance and modern features like Leather Seats and Android Auto.
163,Tesla,Model Y,2021,60238,SUV,Electric,Automatic,0.0,516,5,101,4,"Android Auto, Cruise Control, Leather Seats",The 2021 Tesla Model Y is a premium SUV offering exceptional performance and modern features like Android Auto and Cruise Control.
164,Mercedes-Benz,C-Class,2021,54761,Luxury,Petrol,Manual,3.4,369,5,23,4,"Leather Seats, Navigation System, Blind Spot Monitor, Backup Camera, Heated Seats",The 2021 Mercedes-Benz C-Class is a premium Luxury offering exceptional performance and modern features like Leather Seats and Navigation System.
165,Honda,Civic,2021,47452,Coupe,Petrol,Automatic,3.5,358,2,32,5,"Cruise Control, Leather Seats, Blind Spot Monitor, Bluetooth, Heated Seats, Sunroof",The 2021 Honda Civic is a premium Coupe offering exceptional performance and modern features like Cruise Control and Leather Seats.
166,Hyundai,Tucson,2024,46826,SUV,Petrol,Automatic,3.6,406,7,37,4,"Android Auto, Sunroof, Apple CarPlay",The 2024 Hyundai Tucson is a premium SUV offering exceptional performance and modern features like Android Auto and Sunroof.
167,Hyundai,Tucson,2024,45536,SUV,Hybrid,Manual,2.0,401,7,26,4,"Leather Seats, Apple CarPlay, Heated Seats, Blind Spot Monitor, Bluetooth",The 2024 Hyundai Tucson is a premium SUV offering exceptional performance and modern features like Leather Seats and Apple CarPlay.
168,Hyundai,Ioniq 5,2022,32295,Sedan,Electric,Automatic,0.0,506,5,124,4,"Blind Spot Monitor, Navigation System, Cruise Control, Android Auto, Backup Camera",The 2022 Hyundai Ioniq 5 is a premium Sedan offering exceptional performance and modern features like Blind Spot Monitor and Navigation System.
169,Ford,Explorer,2024,25187,SUV,Petrol,Automatic,1.2,202,5,35,4,"Blind Spot Monitor, Cruise Control, Navigation System, Android Auto, Heated Seats, Backup Camera",The 2024 Ford Explorer is a premium SUV offering exceptional performance and modern features like Blind Spot Monitor and Cruise Control.
170,Hyundai,Santa Fe,2020,27951,Coupe,Petrol,Automatic,1.3,350,4,20,3,"Heated Seats, Backup Camera, Leather Seats",The 2020 Hyundai Santa Fe is a premium Coupe offering exceptional performance and modern features like Heated Seats and Backup Camera.
171,Toyota,Corolla,2020,49035,Coupe,Petrol,Automatic,2.1,531,4,40,5,"Cruise Control, Sunroof, Heated Seats, Navigation System",The 2020 Toyota Corolla is a premium Coupe offering exceptional performance and modern features like Cruise Control and Sunroof.
172,Kia,Sorento,2019,49142,Sedan,Petrol,Automatic,1.4,215,5,41,4,"Cruise Control, Android Auto, Blind Spot Monitor",The 2019 Kia Sorento is a premium Sedan offering exceptional performance and modern features like Cruise Control and Android Auto.
173,Kia,Forte,2021,45616,Hatchback,Hybrid,Automatic,4.6,426,5,32,5,"Blind Spot Monitor, Android Auto, Bluetooth",The 2021 Kia Forte is a premium Hatchback offering exceptional performance and modern features like Blind Spot Monitor and Android Auto.
174,Toyota,Highlander,2021,36992,SUV,Petrol,Automatic,4.5,220,7,31,5,"Bluetooth, Leather Seats, Apple CarPlay",The 2021 Toyota Highlander is a premium SUV offering exceptional performance and modern features like Bluetooth and Leather Seats.
175,BMW,5 Series,2019,67508,Coupe,Hybrid,Automatic,2.8,422,4,33,5,"Backup Camera, Heated Seats, Cruise Control, Apple CarPlay, Blind Spot Monitor, Leather Seats",The 2019 BMW 5 Series is a premium Coupe offering exceptional performance and modern features like Backup Camera and Heated Seats.
176,Kia,Forte,2024,45277,Coupe,Petrol,Automatic,3.5,281,4,27,5,"Navigation System, Android Auto, Blind Spot Monitor, Sunroof, Bluetooth, Apple CarPlay",The 2024 Kia Forte is a premium Coupe offering exceptional performance and modern features like Navigation System and Android Auto.
177,Toyota,Highlander,2023,36515,Hatchback,Petrol,Automatic,1.6,257,5,40,5,"Android Auto, Cruise Control, Bluetooth",The 2023 Toyota Highlander is a premium Hatchback offering exceptional performance and modern features like Android Auto and Cruise Control.
178,Ford,F-150,2021,27158,Truck,Petrol,Automatic,1.2,290,3,15,5,"Navigation System, Heated Seats, Blind Spot Monitor, Bluetooth, Cruise Control, Android Auto",The 2021 Ford F-150 is a premium Truck offering exceptional performance and modern features like Navigation System and Heated Seats.
179,Kia,K5,2023,40493,Truck,Petrol,Automatic,2.0,432,5,19,3,"Bluetooth, Leather Seats, Navigation System, Blind Spot Monitor, Heated Seats",The 2023 Kia K5 is a premium Truck offering exceptional performance and modern features like Bluetooth and Leather Seats.
180,Tesla,Model X,2021,58680,SUV,Electric,Automatic,0.0,475,5,112,4,"Heated Seats, Android Auto, Cruise Control, Leather Seats, Backup Camera, Navigation System",The 2021 Tesla Model X is a premium SUV offering exceptional performance and modern features like Heated Seats and Android Auto.
181,Mercedes-Benz,C-Class,2019,55690,SUV,Petrol,Automatic,3.6,513,5,38,5,"Leather Seats, Heated Seats, Sunroof",The 2019 Mercedes-Benz C-Class is a premium SUV offering exceptional performance and modern features like Leather Seats and Heated Seats.
182,Tesla,Model Y,2024,59915,SUV,Electric,Automatic,0.0,408,7,115,3,"Heated Seats, Blind Spot Monitor, Apple CarPlay, Leather Seats",The 2024 Tesla Model Y is a premium SUV offering exceptional performance and modern features like Heated Seats and Blind Spot Monitor.
183,Honda,HR-V,2020,31420,Coupe,Petrol,Automatic,4.3,329,2,33,3,"Leather Seats, Android Auto, Sunroof, Bluetooth, Blind Spot Monitor",The 2020 Honda HR-V is a premium Coupe offering exceptional performance and modern features like Leather Seats and Android Auto.
184,Honda,CR-V,2022,36755,SUV,Hybrid,Automatic,4.8,167,5,44,5,"Sunroof, Apple CarPlay, Backup Camera",The 2022 Honda CR-V is a premium SUV offering exceptional performance and modern features like Sunroof and Apple CarPlay.
185,Ford,Mach-E,2021,26296,Hatchback,Electric,Automatic,0.0,494,5,91,4,"Leather Seats, Navigation System, Bluetooth, Cruise Control, Sunroof",The 2021 Ford Mach-E is a premium Hatchback offering exceptional performance and modern features like Leather Seats and Navigation System.
186,Tesla,Model X,2020,72357,SUV,Electric,Automatic,0.0,335,7,99,3,"Sunroof, Android Auto, Heated Seats, Cruise Control, Bluetooth, Backup Camera",The 2020 Tesla Model X is a premium SUV offering exceptional performance and modern features like Sunroof and Android Auto.
187,BMW,X3,2019,54444,SUV,Petrol,Automatic,1.7,384,5,42,5,"Backup Camera, Leather Seats, Heated Seats, Blind Spot Monitor",The 2019 BMW X3 is a premium SUV offering exceptional performance and modern features like Backup Camera and Leather Seats.
188,Ford,Explorer,2019,45058,SUV,Petrol,Automatic,5.0,468,5,37,3,"Heated Seats, Apple CarPlay, Blind Spot Monitor, Navigation System",The 2019 Ford Explorer is a premium SUV offering exceptional performance and modern features like Heated Seats and Apple CarPlay.
189,BMW,5 Series,2019,71904,Coupe,Hybrid,Automatic,4.8,316,2,43,5,"Bluetooth, Apple CarPlay, Sunroof",The 2019 BMW 5 Series is a premium Coupe offering exceptional performance and modern features like Bluetooth and Apple CarPlay.
190,Tesla,Model S,2020,58275,Sedan,Electric,Automatic,0.0,358,5,108,5,"Apple CarPlay, Blind Spot Monitor, Heated Seats, Sunroof",The 2020 Tesla Model S is a premium Sedan offering exceptional performance and modern features like Apple CarPlay and Blind Spot Monitor.
191,Hyundai,Tucson,2023,40523,SUV,Diesel,Automatic,3.7,442,5,36,5,"Android Auto, Cruise Control, Sunroof",The 2023 Hyundai Tucson is a premium SUV offering exceptional performance and modern features like Android Auto and Cruise Control.
192,Kia,Sorento,2024,30445,Truck,Electric,Automatic,0.0,640,5,17,5,"Leather Seats, Apple CarPlay, Android Auto, Navigation System",The 2024 Kia Sorento is a premium Truck offering exceptional performance and modern features like Leather Seats and Apple CarPlay.
193,Chevrolet,Equinox,2024,27749,Truck,Electric,Automatic,0.0,455,5,21,4,"Bluetooth, Backup Camera, Blind Spot Monitor",The 2024 Chevrolet Equinox is a premium Truck offering exceptional performance and modern features like Bluetooth and Backup Camera.
194,Kia,Forte,2021,28551,SUV,Petrol,Automatic,4.8,230,7,40,3,"Leather Seats, Heated Seats, Navigation System, Apple CarPlay",The 2021 Kia Forte is a premium SUV offering exceptional performance and modern features like Leather Seats and Heated Seats.
195,Hyundai,Sonata,2021,48749,Sedan,Petrol,Automatic,4.4,432,5,36,4,"Leather Seats, Cruise Control, Sunroof, Apple CarPlay, Backup Camera",The 2021 Hyundai Sonata is a premium Sedan offering exceptional performance and modern features like Leather Seats and Cruise Control.
196,Toyota,Camry,2022,43287,Truck,Hybrid,Automatic,2.6,390,5,16,3,"Android Auto, Navigation System, Blind Spot Monitor, Bluetooth, Sunroof",The 2022 Toyota Camry is a premium Truck offering exceptional performance and modern features like Android Auto and Navigation System.
197,Audi,Q7,2021,69356,SUV,Hybrid,Automatic,4.9,458,5,24,5,"Leather Seats, Sunroof, Android Auto, Backup Camera, Bluetooth, Cruise Control",The 2021 Audi Q7 is a premium SUV offering exceptional performance and modern features like Leather Seats and Sunroof.
198,Chevrolet,Silverado,2022,83646,Truck,Diesel,Automatic,4.3,432,3,22,5,"Heated Seats, Android Auto, Sunroof, Navigation System, Backup Camera",The 2022 Chevrolet Silverado is a premium Truck offering exceptional performance and modern features like Heated Seats and Android Auto.
199,BMW,X3,2023,66523,SUV,Diesel,Automatic,4.0,453,7,43,5,"Bluetooth, Sunroof, Backup Camera",The 2023 BMW X3 is a premium SUV offering exceptional performance and modern features like Bluetooth and Sunroof.
200,Audi,Q7,2019,63452,SUV,Hybrid,Automatic,1.6,334,5,41,3,"Blind Spot Monitor, Cruise Control, Heated Seats, Navigation System, Sunroof, Android Auto",The 2019 Audi Q7 is a premium SUV offering exceptional performance and modern features like Blind Spot Monitor and Cruise Control.
201,Chevrolet,Silverado,2020,76901,Truck,Petrol,Automatic,4.0,593,5,15,5,"Apple CarPlay, Bluetooth, Heated Seats, Navigation System, Backup Camera",The 2020 Chevrolet Silverado is a premium Truck offering exceptional performance and modern features like Apple CarPlay and Bluetooth.
202,Mercedes-Benz,E-Class,2021,51518,Coupe,Petrol,Automatic,3.8,522,2,34,4,"Backup Camera, Blind Spot Monitor, Sunroof, Android Auto",The 2021 Mercedes-Benz E-Class is a premium Coupe offering exceptional performance and modern features like Backup Camera and Blind Spot Monitor.
203,Mercedes-Benz,C-Class,2021,54195,Hatchback,Petrol,Manual,4.8,273,5,44,4,"Blind Spot Monitor, Sunroof, Bluetooth",The 2021 Mercedes-Benz C-Class is a premium Hatchback offering exceptional performance and modern features like Blind Spot Monitor and Sunroof.
204,Toyota,Camry,2023,34283,Sedan,Petrol,Manual,2.0,192,5,32,4,"Navigation System, Apple CarPlay, Backup Camera, Android Auto",The 2023 Toyota Camry is a premium Sedan offering exceptional performance and modern features like Navigation System and Apple CarPlay.
205,Tesla,Model S,2023,73678,Sedan,Electric,Automatic,0.0,616,5,93,3,"Navigation System, Leather Seats, Bluetooth, Heated Seats, Blind Spot Monitor",The 2023 Tesla Model S is a premium Sedan offering exceptional performance and modern features like Navigation System and Leather Seats.
206,Honda,Pilot,2023,35278,Sedan,Hybrid,Automatic,4.7,182,5,20,3,"Sunroof, Backup Camera, Heated Seats, Bluetooth",The 2023 Honda Pilot is a premium Sedan offering exceptional performance and modern features like Sunroof and Backup Camera.
207,Toyota,RAV4,2020,26629,SUV,Hybrid,Manual,4.3,394,5,32,4,"Navigation System, Apple CarPlay, Backup Camera, Leather Seats, Android Auto",The 2020 Toyota RAV4 is a premium SUV offering exceptional performance and modern features like Navigation System and Apple CarPlay.
208,Kia,EV6,2024,49170,Sedan,Electric,Automatic,0.0,618,5,126,3,"Sunroof, Backup Camera, Heated Seats, Bluetooth",The 2024 Kia EV6 is a premium Sedan offering exceptional performance and modern features like Sunroof and Backup Camera.
209,Hyundai,Santa Fe,2020,30738,Truck,Hybrid,Automatic,3.1,258,5,18,4,"Navigation System, Leather Seats, Android Auto, Cruise Control, Sunroof, Blind Spot Monitor",The 2020 Hyundai Santa Fe is a premium Truck offering exceptional performance and modern features like Navigation System and Leather Seats.
210,Mercedes-Benz,E-Class,2019,73936,Coupe,Petrol,Automatic,1.5,321,2,37,5,"Heated Seats, Leather Seats, Apple CarPlay, Bluetooth, Sunroof",The 2019 Mercedes-Benz E-Class is a premium Coupe offering exceptional performance and modern features like Heated Seats and Leather Seats.
211,Chevrolet,Silverado,2023,60060,Truck,Hybrid,Automatic,2.4,151,3,18,4,"Cruise Control, Leather Seats, Backup Camera, Heated Seats",The 2023 Chevrolet Silverado is a premium Truck offering exceptional performance and modern features like Cruise Control and Leather Seats.
212,Ford,Mach-E,2021,48590,Coupe,Electric,Automatic,0.0,510,2,101,5,"Leather Seats, Backup Camera, Apple CarPlay, Blind Spot Monitor, Navigation System, Sunroof",The 2021 Ford Mach-E is a premium Coupe offering exceptional performance and modern features like Leather Seats and Backup Camera.
213,Tesla,Model S,2023,55520,Sedan,Electric,Automatic,0.0,734,5,107,4,"Navigation System, Bluetooth, Leather Seats, Backup Camera",The 2023 Tesla Model S is a premium Sedan offering exceptional performance and modern features like Navigation System and Bluetooth.
214,Chevrolet,Equinox,2022,49690,Luxury,Petrol,Automatic,2.4,286,5,42,5,"Leather Seats, Navigation System, Apple CarPlay, Sunroof",The 2022 Chevrolet Equinox is a premium Luxury offering exceptional performance and modern features like Leather Seats and Navigation System.
215,Toyota,Camry,2021,27242,SUV,Petrol,Automatic,2.0,473,5,41,3,"Heated Seats, Backup Camera, Cruise Control, Blind Spot Monitor",The 2021 Toyota Camry is a premium SUV offering exceptional performance and modern features like Heated Seats and Backup Camera.
216,BMW,5 Series,2019,65810,SUV,Petrol,Automatic,1.3,136,7,22,5,"Cruise Control, Leather Seats, Bluetooth",The 2019 BMW 5 Series is a premium SUV offering exceptional performance and modern features like Cruise Control and Leather Seats.
217,Kia,Sportage,2022,36186,Coupe,Hybrid,Automatic,1.9,569,4,34,5,"Sunroof, Heated Seats, Blind Spot Monitor, Backup Camera, Bluetooth",The 2022 Kia Sportage is a premium Coupe offering exceptional performance and modern features like Sunroof and Heated Seats.
218,Kia,Sorento,2022,36064,Sedan,Petrol,Automatic,4.3,454,5,39,3,"Sunroof, Backup Camera, Leather Seats, Navigation System, Bluetooth",The 2022 Kia Sorento is a premium Sedan offering exceptional performance and modern features like Sunroof and Backup Camera.
